                    X              UR1-Node2              UR1-Node3              UR2-Node2              UR2-Node3              UR3-Node2              UR3-Node3                   U1-Node2               U1-Node3               U2-Node2               U2-Node3               U3-Node2               U3-Node3
               49.E-03            -1.36491E-03        2.36539E-03       -8.74563E-06       -5.19745E-06       -3.35547E-03       -4.27805E-03     -871.591E-09         -4.74617E-06     -937.565E-06         -2.90622E-03        1.69057E-06        4.88507E-06
               49.5E-03            3.40699E-03        4.82853E-03      -12.3293E-06       -13.345E-06         -3.36642E-03       -4.29469E-03     -887.71E-09          -4.79021E-06     -940.212E-06         -2.91617E-03        1.50503E-06        4.47312E-06
               50.E-03             8.39783E-03       15.8275E-03       -13.0864E-06       -39.0364E-06        -3.35964E-03       -4.31319E-03     -887.895E-09         -4.82109E-06     -934.844E-06         -2.91542E-03        1.32338E-06        4.0637E-06 
               50.5E-03            6.70671E-03       12.5652E-03       -11.5542E-06       -31.2883E-06        -3.33636E-03       -4.32748E-03     -857.044E-09         -4.78309E-06     -922.552E-06         -2.90329E-03        1.16539E-06        3.71096E-06
               51.E-03           919.283E-06          1.57883E-03       -9.55413E-06       -3.81076E-06       -3.29735E-03       -4.32787E-03     -819.01E-09          -4.71335E-06     -905.158E-06         -2.8788E-03         1.02409E-06        3.39956E-06
               51.5E-03          -21.0715E-06         4.7853E-03        -6.4465E-06        -9.80066E-06       -3.24451E-03       -4.30357E-03     -782.925E-09         -4.61237E-06     -884.754E-06         -2.84091E-03      879.922E-09          3.07297E-06
               52.E-03             7.99544E-03       12.9891E-03       -10.7457E-06       -31.6867E-06        -3.17898E-03       -4.24507E-03     -754.361E-09         -4.46489E-06     -863.193E-06         -2.78891E-03      718.706E-09          2.74538E-06
               52.5E-03            8.84771E-03       13.7573E-03       -10.7364E-06       -32.9385E-06        -3.1023E-03        -4.14836E-03     -724.454E-09         -4.26697E-06     -841.641E-06         -2.72262E-03      561.715E-09          2.47693E-06
               53.E-03           766.491E-06          6.03385E-03       -5.11116E-06      -12.1725E-06        -3.015E-03         -4.01319E-03     -673.466E-09         -3.99739E-06     -820.325E-06         -2.64262E-03      416.631E-09          2.27064E-06
               53.5E-03          293.906E-06        955.172E-06         -6.77652E-06       -1.62625E-06       -2.91732E-03       -3.84685E-03     -631.381E-09         -3.69735E-06     -798.519E-06         -2.55023E-03      269.658E-09          2.06615E-06
               54.E-03             5.9347E-03        10.9976E-03        -7.53966E-06      -23.0913E-06        -2.80912E-03       -3.65873E-03     -610.714E-09         -3.41138E-06     -774.788E-06         -2.44733E-03      135.118E-09          1.83559E-06
               54.5E-03            8.61778E-03       16.5005E-03        -7.97603E-06      -32.068E-06         -2.69022E-03       -3.46262E-03     -569.521E-09         -3.1042E-06      -747.41E-06          -2.3361E-03        34.8705E-09         1.62118E-06
               55.E-03             4.41493E-03        6.25638E-03       -6.82193E-06      -12.1082E-06        -2.56068E-03       -3.26898E-03     -513.534E-09         -2.77241E-06     -714.895E-06         -2.21866E-03      -17.9892E-09         1.44232E-06
               55.5E-03           -1.38501E-03        1.97189E-03       -3.17078E-06       -1.86661E-06       -2.42094E-03       -3.08643E-03     -455.673E-09         -2.47359E-06     -676.437E-06         -2.09677E-03      -31.5509E-09         1.25817E-06
               56.E-03             3.76027E-03        8.423E-03         -4.97831E-06      -12.9116E-06        -2.27209E-03       -2.91695E-03     -401.997E-09         -2.19953E-06     -632.204E-06         -1.97165E-03      -31.3359E-09         1.04695E-06
               56.5E-03           10.1347E-03        14.5998E-03        -7.20499E-06      -22.7742E-06        -2.11608E-03       -2.75809E-03     -355.001E-09         -1.94399E-06     -583.381E-06         -1.84392E-03      -10.7436E-09       839.019E-09  
               57.E-03             4.73489E-03       11.5017E-03        -3.56681E-06      -14.9878E-06        -1.95516E-03       -2.60269E-03     -291.503E-09         -1.69839E-06     -531.956E-06         -1.71373E-03       40.5979E-09       666.514E-09  
